caseid,v013,v024,v025,v106,v130,v131,v136,v137,v150,v151,v152,v157,v158,v159,v190,v201,v213,v218,v225,v312,v463a,v463b,v463c,v463x,v463z,v501,v504,v505,v511,v613,v621,v701,v704,v714,v716,v730,v743a,v743b,v743d,v743f,v744a,v744b,v744c,v744d,v744e,v745a,v745b,v822,v850a,v812,d101a,d101b,d101c,d101d,d101e,d104,d106,d107,d108,d113,d121,d129,ipv,vio
     0020129 02,2,9,1,1,2,4,3,0,2,1,30,0,2,2,5,1,0,1, ,1,0,0,0,0,1,1,1,0,14,2,1,2,28,1,28,30,2,1,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN
     0021032 02,2,9,1,2,2,3,2,0,2,1,26,0,2,2,5,0,1,0,1,0,0,0,0,0,1,1,1,0,23,2,1,1,91,1,52,26,2,2,2,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,2,1,NaN
     0021048 02,3,9,1,2,1,3,4,1,2,1,35,0,0,2,5,2,0,2, ,0,0,0,0,0,1,1,1,0,21,4,3,2,91,1,91,35,1,4,1,2,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,2,0,NaN
     0021064 02,2,9,1,2,2,5,2,0,2,1,25,1,2,2,5,1,0,0, ,3,0,0,0,0,1,1,1,0,22,2,1,3,36,1,91,25,4,4,4,4,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,0,0,1,0,0,1,0,1,NaN
     0021080 01,3,9,1,1,2,6,4,0,1,2,30,1,2,2,5,2,0,2, ,3,0,0,0,0,1,1,2,0,18,3,2,2,88,1,52,34,1,2,2,2,0,0,0,0,0,0,0,1,1,0,1,1,1,0,1,0,1,1,1,1,0,2,3,NaN
     0022044 02,5,9,1,1,2,3,3,1,2,1,43,0,2,0,5,5,0,5, ,3,0,0,0,0,1,1,1,0,17,3,1,2,93,1,91,46,1,4,4,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,1,8,2,1,NaN
     0022090 02,4,9,1,2,2,3,4,1,2,1,40,1,2,2,5,2,0,2, ,3,0,0,0,0,1,1,1,0,23,2,1,3,88,0,0,40,2,2,2,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN
     0022112 01,5,9,1,1,2,6,1,0,1,2,35,0,2,0,4,2,0,1, ,0,0,0,0,0,1,4, , ,16,2, ,2,53,1,53, , , , , ,0,0,0,0,0,0,0,1, ,0,1,1,1,0,1,1,1,0,1,1,0,1,3,NaN
     0023019 02,4,9,1,1,2,6,2,0,2,1,36,1,2,1,4,3,0,2, ,3,0,0,0,0,1,1,1,0,19,3,1,2,91,1,77,34,1,2,2,4,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,1,0,0,1,0,0,1,NaN
     0023075 02,5,9,1,2,2,3,5,0,2,1,41,0,2,2,4,2,0,2, ,1,0,0,0,0,1,1,1,0,18,3,1,2,91,1,91,41,2,2,2,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN
