v013,v024,v025,v106,v130,v131,v136,v137,v150,v151,v152,v157,v158,v159,v169a,v171a,v190,v201,v213,v218,v225,v312,v463a,v463b,v463c,v463x,v463z,v501,v504,v505,v511,v613,v621,v701,v704,v714,v716,v730,v743a,v743b,v743d,v743f,v744a,v744b,v744c,v744d,v744e,v745a,v745b,v745c,v745d,v822,v850a,v812,d101a,d101b,d101c,d101d,d101e,d113,d121,d129,s711a,s711b,ipv
3,5,2,1,4,5,6,2,1,2,28,0,0,0,0,0,1,5,0,5,,0,0,0,0,0,1,1,2,0,13,20,2,2,54,1,92,40,4,4,1,4,0,0,1,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0
6,5,2,0,4,96,6,1,2,1,62,0,0,0,0,0,1,7,0,7,,0,0,0,0,0,1,1,1,1,20,10,3,0,0,0,0,60,1,1,1,1,1,1,1,1,1,2,2,0,0,0,0,0,1,0,0,0,0,0,1,2,2,0,0
4,5,2,0,4,99,5,2,1,2,30,0,0,0,0,0,1,6,0,6,,0,0,0,0,0,1,1,2,1,14,95,3,0,99998,0,0,50,2,2,2,2,1,1,1,1,1,2,2,0,0,8,0,0,1,0,0,0,0,0,0,2,2,0,0
5,5,2,0,4,5,7,3,1,2,38,0,0,0,0,0,1,11,0,9,,0,0,0,0,0,1,1,2,1,13,10,2,0,61,1,92,56,4,4,1,4,1,1,1,1,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0
3,5,2,0,4,5,6,2,2,1,32,0,0,0,0,0,1,6,0,5,,0,0,0,0,0,1,1,1,0,11,10,8,0,63,0,0,32,1,1,2,1,1,1,1,1,1,2,2,0,0,8,0,0,0,0,0,0,0,0,0,1,1,0,0
4,5,2,0,4,5,5,2,2,1,40,0,0,0,0,0,1,3,0,3,,0,0,0,0,0,1,1,1,0,23,8,2,0,63,0,51,40,4,4,4,4,0,1,1,1,0,2,0,0,,8,0,0,0,0,1,1,1,0,8,0,1,0,0
5,5,2,0,4,5,9,3,2,1,44,0,0,0,0,0,1,11,0,10,,0,0,0,0,0,1,1,1,0,15,20,2,0,63,0,0,44,1,2,4,2,1,1,1,1,1,0,0,,,8,0,0,0,0,0,0,0,0,0,2,1,0,0
4,5,2,0,4,5,8,1,2,1,40,0,0,0,0,0,1,7,0,7,,0,0,0,0,0,1,1,1,1,13,14,8,0,63,0,53,40,2,2,1,4,1,1,1,1,1,2,2,2,0,8,0,0,0,0,0,0,1,0,8,0,1,0,0
4,5,2,0,4,5,6,1,2,1,40,0,0,0,0,0,1,6,0,6,,0,0,0,0,0,1,1,1,0,15,8,8,0,63,0,0,40,4,2,1,4,1,1,1,1,1,0,0,,,8,1,0,0,0,0,0,0,0,0,1,1,0,0
5,5,2,0,4,5,7,1,2,1,50,0,0,0,0,0,1,12,0,6,,0,0,0,0,0,1,1,1,0,17,20,2,0,63,0,0,50,4,4,4,1,0,1,1,1,1,2,2,0,0,8,0,0,0,0,0,0,0,0,1,1,1,0,2
3,5,2,0,4,5,7,3,2,1,32,0,1,0,1,0,1,6,0,6,,0,0,0,0,0,1,1,1,0,12,95,1,0,96,0,0,32,2,2,2,2,0,1,1,1,0,2,0,0,,1,1,0,0,0,0,0,0,0,0,0,1,0,0
1,5,2,1,4,5,2,0,1,2,18,0,2,1,1,0,4,0,1,0,1,0,0,0,0,0,1,1,1,0,17,10,8,1,52,0,0,25,2,2,1,2,0,0,0,0,0,1,0,1,,8,0,0,0,0,0,0,0,0,0,0,2,0,0
